sweep,data,n,d,m,ef_construction,ef,k,queries,build_ms,commit_ms,recall_at_k,opened_med,opened_p95,proof_bytes_med,proof_bytes_p95,search_us_med,prove_us_med,verify_us_med,prove_over_search
d,clustered,50000,64,16,200,64,10,50,3754,28,0.9100,938.0,1157.0,296988,354533,18.7,223.1,1481.5,11.95
d,clustered,50000,128,16,200,64,10,50,3927,29,0.7250,899.0,1106.0,338653,404642,24.3,202.0,1440.0,8.30
d,clustered,50000,256,16,200,64,10,50,4936,36,0.9500,821.0,955.0,413225,477933,34.5,203.9,1452.2,5.92
d,clustered,50000,512,16,200,64,10,50,7201,51,0.8350,585.0,825.0,455685,624839,38.5,165.2,1268.3,4.29
d,clustered,50000,768,16,200,64,10,50,8704,66,0.9500,554.0,857.0,569812,866455,47.8,169.9,1378.0,3.55
ef,clustered,50000,128,16,200,16,10,50,3877,28,0.3600,327.0,495.0,142927,203419,7.4,73.1,599.3,9.86
ef,clustered,50000,128,16,200,32,10,50,3877,28,0.5700,548.0,791.0,222876,304419,13.7,122.0,939.5,8.90
ef,clustered,50000,128,16,200,64,10,50,3877,28,0.7250,899.0,1106.0,338653,404642,24.1,201.2,1444.6,8.35
ef,clustered,50000,128,16,200,128,10,50,3877,28,0.8650,1563.0,1835.0,545643,627211,48.3,346.9,2301.5,7.18
ef,clustered,50000,128,16,200,256,10,50,3877,28,0.9950,2769.0,3048.0,893851,971446,96.6,620.4,3734.6,6.42
n,clustered,10000,128,16,200,64,10,50,605,6,0.9450,677.0,845.0,210465,254994,17.2,142.2,852.0,8.26
n,clustered,20000,128,16,200,64,10,50,1346,12,0.8900,781.0,1048.0,264853,342555,20.2,170.9,1091.7,8.44
n,clustered,100000,128,16,200,64,10,50,9754,58,0.6250,991.0,1357.0,402461,534761,26.5,225.7,1717.6,8.52
